09-11 14:43:40 [INFO] wechatbot_client | Current Env: prod
09-11 14:56:36 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': 'f27cc326-1e9e-4c46-96b0-02d7d87ec4a1', 'time': 1694415396.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '8357135826988879239', 'message': [MessageSegment(type='text', data={'text': '甚至可以当舒婷游戏玩'})], 'alt_message': '甚至可以当舒婷游戏玩', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
09-11 14:56:37 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GetGroupPokeNotice]:{'id': '40a575a3-30c3-401f-a0e2-c454f4829c0a', 'time': 1694415396.0, 'type': 'notice', 'detail_type': 'wx.get_group_poke', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'group_id': '44043383416@chatroom', 'user_id': 'wxid_38l0rozq3xbp22', 'from_user_id': 'wxid_y2gdcqleoyad22'}
09-11 14:56:38 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '450b5527-ad11-48d8-b45b-79aa2a85e8a9', 'time': 1694415398.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '2818950393215559697', 'message': [MessageSegment(type='wx.emoji', data={'file_id': 'cb7a364a-df1b-4d96-b4b4-960997ec59c9'})], 'alt_message': '', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
09-11 14:56:46 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '085c194c-9650-4a39-9980-524547d879ec', 'time': 1694415406.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '8916416487904349026', 'message': [MessageSegment(type='text', data={'text': '茶神都被折磨破防了'})], 'alt_message': '茶神都被折磨破防了', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
09-11 14:58:27 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': 'fc80fe1b-740e-4e0b-bcc2-d378553a012a', 'time': 1694415507.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '5118192864503380758', 'message': [MessageSegment(type='text', data={'text': '唯二格斗游戏经验是任斗和小时候玩的97风云再起'})], 'alt_message': '唯二格斗游戏经验是任斗和小时候玩的97风云再起', 'user_id': 'wxid_vgtptv85y4rc22', 'group_id': '44043383416@chatroom'}
09-11 14:58:40 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '6ae4689a-5610-4731-9570-95f6a14ded0f', 'time': 1694415521.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '5701097341054997652', 'message': [MessageSegment(type='text', data={'text': '全是娱乐 没有技术'})], 'alt_message': '全是娱乐 没有技术', 'user_id': 'wxid_vgtptv85y4rc22', 'group_id': '44043383416@chatroom'}
09-11 14:58:44 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '8367f476-2522-4577-9ff0-ce112ec58bff', 'time': 1694415524.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '8357989129214265059', 'message': [MessageSegment(type='wx.emoji', data={'file_id': '648d29e1-f4e7-483e-bebe-33d9457abf47'})], 'alt_message': '', 'user_id': 'wxid_vgtptv85y4rc22', 'group_id': '44043383416@chatroom'}
09-11 14:59:02 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': 'a845de7d-73b1-4c0b-8471-d2a84e64c550', 'time': 1694415542.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '3734347836129188194', 'message': [MessageSegment(type='text', data={'text': '还有死神vs火影'})], 'alt_message': '还有死神vs火影', 'user_id': 'wxid_y2gdcqleoyad22', 'group_id': '44043383416@chatroom'}
09-11 14:59:05 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '09c7e6e8-4089-4ac8-b6df-44aff8baab0b', 'time': 1694415545.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '1557969606221210049', 'message': [MessageSegment(type='wx.emoji', data={'file_id': 'e6d39177-d856-4a1a-94ed-b982cc3361d5'})], 'alt_message': '', 'user_id': 'wxid_y2gdcqleoyad22', 'group_id': '44043383416@chatroom'}
09-11 14:59:09 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '3e2697f8-e306-465b-a437-0302bfb7ec46', 'time': 1694415549.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '3857128265625556477', 'message': [MessageSegment(type='text', data={'text': '那你体验应该会'})], 'alt_message': '那你体验应该会', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
